season,episode_num_in_season,episode_num_overall,title,directed_by,written_by,original_air_date,prod_code,us_viewers
6,5,116,The Holographic Excitation,Mark Cendrowski,Story by: Chuck Lorre & Eric Kaplan & Jeremy HoweTeleplay by: Steven Molaro & Steve Holland & Maria Ferrari,2012-10-25,3X7605,15820000.0
6,6,117,The Extract Obliteration,Mark Cendrowski,Story by: Chuck Lorre & Bill Prady & Steve HollandTeleplay by: Steven Molaro & Jim Reynolds & Eric Kaplan,2012-11-01,3X7606,15900000.0
6,7,118,The Habitation Configuration,Mark Cendrowski,Story by: Chuck Lorre & Eric Kaplan & Jim ReynoldsTeleplay by: Steven Molaro & Steve Holland & Maria Ferrari,2012-11-08,3X7607,16680000.0
6,8,119,The 43 Peculiarity,Mark Cendrowski,Story by: Chuck Lorre & Dave Goetsch & Anthony Del BroccoloTeleplay by: Steven Molaro & Jim Reynolds & Steve Holland,2012-11-15,3X7608,17630000.0
6,9,120,The Parking Spot Escalation,Peter Chakos,Story by: Chuck Lorre & Eric Kaplan & Adam FabermanTeleplay by: Steven Molaro & Steve Holland & Maria Ferrari,2012-11-29,3X7609,17250000.0
6,10,121,The Fish Guts Displacement,Mark Cendrowski,Story by: Chuck Lorre & Bill Prady & Tara HernandezTeleplay by: Steven Molaro & Eric Kaplan & Jim Reynolds,2012-12-06,3X7610,16940000.0
6,11,122,The Santa Simulation,Mark Cendrowski,Story by: Chuck Lorre & Eric Kaplan & Steve HollandTeleplay by: Steven Molaro & Jim Reynolds & Maria Ferrari,2012-12-13,3X7611,16770000.0
6,12,123,The Egg Salad Equivalency,Mark Cendrowski,Story by: Chuck Lorre & Eric Kaplan & Jim ReynoldsTeleplay by: Steven Molaro & Bill Prady & Steve Holland,2013-01-03,3X7612,19250000.0
6,13,124,The Bakersfield Expedition,Mark Cendrowski,Story by: Chuck Lorre & Jim Reynolds & Steve HollandTeleplay by: Steven Molaro & Eric Kaplan & Maria Ferrari,2013-01-10,3X7613,20000000.0
6,14,125,The Cooper/Kripke Inversion,Mark Cendrowski,Story by: Chuck Lorre & Eric Kaplan & Anthony Del BroccoloTeleplay by: Steven Molaro & Jim Reynolds & Steve Holland,2013-01-31,3X7614,17760000.0
6,15,126,The Spoiler Alert Segmentation,Mark Cendrowski,Story by: Chuck Lorre & Eric Kaplan & Steve HollandTeleplay by: Steven Molaro & Maria Ferrari & Adam Faberman,2013-02-07,3X7615,18980000.0
6,16,127,The Tangible Affection Proof,Mark Cendrowski,Story by: Chuck Lorre & Bill Prady & Steve HollandTeleplay by: Steven Molaro & Jim Reynolds & Tara Hernandez,2013-02-14,3X7616,17890000.0
6,17,128,The Monster Isolation,Mark Cendrowski,Story by: Chuck Lorre & Dave Goetsch & Maria FerrariTeleplay by: Steven Molaro & Eric Kaplan & Steve Holland,2013-02-21,3X7617,17620000.0
6,18,129,The Contractual Obligation Implementation,Mark Cendrowski,Story by: Chuck Lorre & Eric Kaplan & Steve HollandTeleplay by: Steven Molaro & Jim Reynolds & Maria Ferrari,2013-03-07,3X7618,17630000.0
6,19,130,The Closet Reconfiguration,Anthony Rich,Story by: Chuck Lorre & Jim Reynolds & Maria FerrariTeleplay by: Steven Molaro & Steve Holland & Eric Kaplan,2013-03-14,3X7619,15900000.0
6,20,131,The Tenure Turbulence,Mark Cendrowski,Story by: Steven Molaro & Eric Kaplan & Maria FerrariTeleplay by: Chuck Lorre & Steve Holland & Jim Reynolds,2013-04-04,3X7620,17240000.0
